School,Address,Lat/Lon,Distance (Miles)
"The Beauty Institute, Inc.","2215 North  Military Trail #1, West  Palm Beach, FL, 33409","(26.710012, -80.11106)",2690.66327584202
Academy for Practical Nursing and Health Occupations,"5154 Okeechobee Blvd Ste 201, West Palm Beach, FL, 33417","(26.707058, -80.122154)",2690.31109550736
PC Professor - West Palm Beach,"6080 Okeechobee Blvd., West Palm Beach, FL, 33417","(26.70745, -80.13719)",2689.62334496904
Inlet Grove Vocational Institute,"600 West 28th Street, Riviera Beach, FL, 33404","(26.78523, -80.06404)",2689.15740769968
Waianae Coast Comprehensive Health Center,"86-260 Farrington Highway, Waianae, HI, 96792","(21.430016, -158.18184)",2685.43298566829
Institute for Academic and Career English,"4521 PGA Blvd, Palm Beach Gardens, FL, 33418","(26.838253, -80.10572)",2684.76711628622
Hawaii Tokai International College,"91-971 Farrington Highway, Kapolei, HI, 96707","(21.358095, -158.05997)",2684.3771061605
University of Hawaii - West Oahu,"91-1001 Farrington Highway, Kapolei, HI, 96707","(21.358847, -158.05898)",2684.29668426918
Hawaii Technology Institute,"629 Pohukaina St, Honolulu, HI, 96813","(21.30072, -157.86066)",2679.43687720509
Leeward Community College,"96-045 Ala Ike, Pearl City, HI, 96782-3393","(21.394276, -157.98239)",2679.29988492279
Institute of Intensive English,"2155 Kalakaua Ave. Suite 700, Honolulu, HI, 96815","(21.280981, -157.8303)",2679.28044727231
Hawaii Medical College,"1221 Kapiolani Blvd. PH #35, Honolulu, HI, 96814","(21.295282, -157.84743)",2679.19791078884
Babel University Professional School of Translation,"1833 Kalakaua Avenue #208, Honolulu, HI, 96815","(21.288336, -157.83447)",2679.05132043021
Hawaii Pacific University,"1164 Bishop Street Suite 800, Honolulu, HI, 96813","(21.309881, -157.85959)",2678.8997649817
New York Technical Institute of Hawaii,"1375 Dillingham Boulevard, Honolulu, HI, 96817-4415","(21.323565, -157.87558)",2678.80545799877
Heisei International Institute of Massage,"1281 South King Street, Honolulu, HI, 96814","(21.29919, -157.84225)",2678.77872710513
Kapi'olani Community College,"4303 Diamond Head Rd, Honolulu, HI, 96816-4496","(21.268059, -157.80045)",2678.77769979937
Honolulu Community College,"874 Dillingham Blvd, Honolulu, HI, 96817-4598","(21.320553, -157.87057)",2678.76619125285
Gros Bonnet Culinary Academy,"1314 S King St Ste 1164, Honolulu, HI, 96814","(21.298948, -157.84155)",2678.76362189361
Moanalaua/Aiea Community School for Adults,"2825-A Ala Ilima Street, Honolulu, HI, 96818","(21.345121, -157.90216)",2678.71376926783
Kaimuki-Kaiser Community School for Adults,"2705 Kaimuki Avenue, Honolulu, HI, 96816","(21.288221, -157.81625)",2678.3248086336
"Center for Asia-Pacific Exchange, The","1616 Makiki Street, Honolulu, HI, 96822","(21.304232, -157.83453)",2678.19620446843
Hollywood Beauty College,"99-084 Kauhale St Bldg A, Aiea, HI, 96701","(21.379147, -157.9315)",2678.06272037279
Chaminade University of Honolulu,"3140 Waialae Ave, Honolulu, HI, 96816-1578","(21.287989, -157.80922)",2678.05465895405
Transpacific Hawaii College,"5257 Kalanianaole Hwy., Honolulu, HI, 96821","(21.278124, -157.75246)",2676.30585731513
Windward Community College,"45-720 Keaahala Rd, Kaneohe, HI, 96744-3598","(21.409098, -157.81068)",2671.58252613898
University of Hawaii at Hilo,"200 West Kawili Street, Hilo, HI, 96720-4091","(19.70204, -155.07547)",2658.1526420402
Alpha Institute of the Treasure Coast,"1599 SE Port St. Lucie Boulevard, Port St. Lucie, FL, 34952","(27.271257, -80.3029)",2655.35206086918
Lorenzo Walker Institute of Technolgy,"614 South 5th Street, Immokalee, FL, -","(26.409494, -81.42134)",2647.10705372753
University of Hawaii Maui College,"310 Kaahumanu Ave, Kahului, HI, 96732-1644","(20.88881, -156.48616)",2647.09321937945
Immokalee Technical College,"508 North 9th Street, Immokalee, FL, 34142","(26.426111, -81.42563)",2646.11223956352
Lorenzo Walker Technical College,"3702 Estey Avenue, Naples, FL, 34104","(26.142227, -81.76199)",2645.12191958132
Ave Maria School of Law,"1025 Commons Circle, Naples, FL, 34119","(26.242968, -81.73163)",2641.54355347095
Beauty and Massage Institute,"719 17th Street, Vero Beach, FL, 32960","(27.632435, -80.38788)",2634.45371397219
Treasure Coast Technical College,"4680 28th Court, Vero Beach, FL, 32967","(27.679272, -80.41449)",2631.05355558469
Florida Gulf Coast University,"10501 FGCU Blvd South, Fort Myers, FL, 33965-6565","(26.459894, -81.771645)",2629.23315672992
Florida Academy,"4387 Colonial Blvd., Fort Myers, FL, 33966","(26.608713, -81.82259)",2619.77154795156
Florida SouthWestern State College,"8099 College Pky SW, Fort Myers, FL, 33919-0000","(26.556868, -81.88865)",2619.37766269423
Southern Technical College at Fort Myers,"1685 Medical Lane, Fort Myers, FL, 33907-1108","(26.595789, -81.8772)",2617.99378629896
Fort Myers Technical College,"3800 Michigan Ave, Fort Myers, FL, 33916","(26.64838, -81.8397)",2617.09635990087
Premiere International College,"2055 Central Avenue, Fort Myers, FL, 33901","(26.638277, -81.86445)",2616.49583218438
"21st Century Oncology, Inc. School for Radiation Therapy Technology","1419 S.E. 8th Terrace, Cape Coral, FL, 33909","(26.667618, -81.94432)",2611.5579338984
Florida Institute of Technology,"150 West University Boulevard, Melbourne, FL, 32901-6975","(28.063898, -80.62507)",2603.53585832703
Florida Medical Training Institute - Melbourne,"478 Ballard Drive, Melbourne, FL, 32935","(28.115068, -80.62326)",2601.21667434916
Florida Institute of Montessori Studies,"1240 Banana River Dr., Indian Harbour Beach, FL, 32937","(28.15185, -80.59784)",2600.63094429472
Ambiance Beauty & Barber Academy,"682 Wickham Road, Melbourne, FL, 32935","(28.117609, -80.67261)",2598.88871562994
Melbourne Beauty School,"686 N Wickham Road, Melbourne, FL, 32935","(28.117655, -80.67261)",2598.88655843176
IMPAC University,"900 West Marion Avenue, Punta Gorda, FL, 33950","(26.928936, -82.05902)",2593.86776347277
South Florida State College,"600 W College Dr, Avon Park, FL, 33825-9356","(27.570013, -81.51218)",2587.32958677419
Charlotte Technical College,"18150 Murdock Circle, Port Charlotte, FL, 33948-3399","(27.006693, -82.14696)",2586.23979427043
Academy of Cosmetology,"2088 North Courtenay Parkway, Merritt Island, FL, 32953","(28.394154, -80.704216)",2584.53569821977
"U.S. Aviation Training Solutions, Inc.","365 Golden Knights Blvd., Titusville, FL, 32780","(28.510153, -80.79338)",2575.12964146678
Webber International University,"1201 N Scenic Hwy, Babson Park, FL, 33827-0096","(27.837366, -81.529564)",2573.86282508788
Florida Christian College,"1011 Bill Beck Blvd, Kissimmee, FL, 34744","(28.300562, -81.363525)",2559.42141979238
New Gate Center for Montessori Studies,"5237 Ashton Rd., Sarasota, FL, 43233","(27.27658, -82.465355)",2559.20499484402
Program Name: Center for Guided Montessori Studies,"5237 Ashton Road, Sarasota, FL, 34233","(27.27658, -82.465355)",2559.20499484402
Fashion Focus Hair Academy,"2184 Gulf Gate Dr, Sarasota, FL, 34231-4813","(27.258799, -82.52047)",2557.6326672046
Suncoast Technical College,"4748 Beneva Rd, Sarasota, FL, 34233","(27.285006, -82.49757)",2557.37996424543
Polk State College,"999 Avenue H NE, Winter Haven, FL, 33881-4299","(28.03021, -81.71276)",2556.58900927074
Florida Technical College,"12900 Challenger Parkway, Orlando, FL, 32826","(28.573378, -81.19948)",2553.99004400582
Uceda School of Orlando II,"12934 Deertrace Avenue, Orlando, FL, 32837","(28.378365, -81.40555)",2553.89564431504
College of the Atlantic,"105 Eden St, Bar Harbor, ME, 04609","(44.398155, -68.228516)",2553.75316503519
Med-Life Institute,"4727 West Irlo Bronson Memorial Highway, Kissimmee, FL, 34746","(28.324085, -81.47068)",2553.53406439886
Sarasota School of Massage Therapy,"5899 Whitfield Avenue, Sarasota, FL, 34241","(27.404806, -82.48714)",2552.08063428983
Universal Technical Institute,"9751 Delegates Dr, Orlando, FL, 32837","(28.423632, -81.41025)",2551.56467022659
Ringling College of Art and Design,"2700 North Tamiami Tr, Sarasota, FL, 34234-5895","(27.359907, -82.5491)",2551.50639695738
East West College of Natural Medicine,"3808 N. Tamiami Trail, Sarasota, FL, 34234-0000","(27.368025, -82.55193)",2550.99139774358
Southern Technical College,"1485 Florida Mall Avenue, Orlando, FL, 32809","(28.44831, -81.39912)",2550.90637277022
Everglades University - Orlando,"5600 Lake Underhill Road, Orlando, FL, 32807","(28.538986, -81.31208)",2550.55728570095
Orlando Montessori Teacher Education Institute,"901 Begonia, Celebration, FL, 34747","(28.310524, -81.55221)",2550.53310639103
Language On Orlando,"2448 Sand Lake Road, Orlando, FL, 32809","(28.450304, -81.41431)",2550.13433676694
Florida College of Integrative Medicine,"7100 Lake Ellenor Drive, Orlando, FL, 32809-5721","(28.46366, -81.40134)",2550.08869693633
Traviss Technical College,"3225 Winter Lake Road, Lakeland, FL, 33803","(27.996813, -81.89496)",2550.0679269757
New College of Florida,"5800 Bay Shore Road, Sarasota, FL, 34243-2109","(27.386398, -82.55912)",2549.79138432732
Florida College of Health Science,"6100 Lake Eleanor Drive, Orlando, FL, 32809","(28.471292, -81.40347)",2549.63636043439
"State College of Florida, Sarasota-Manatee","8350 N. Tamiami Trail, Sarasota, FL, 34243-2049","(27.3917, -82.56067)",2549.46826376782
Angley College - Orlando,"1819 N. Semoran Boulevard, Orlando, FL, 32807","(28.569258, -81.31083)",2549.19961093634
Liberty Institute Orlando,"7751 Kingspointe Parkway Suite 124, Orlando, FL, 32819","(28.454088, -81.44065)",2548.78041245273
Florida College of Natural Health,"616  67th Street Circle East, Bradenton, FL, 34208","(27.494602, -82.47573)",2548.27538935907
Full Sail University,"3300 University Blvd, Winter Park, FL, 32792-7429","(28.597225, -81.30475)",2548.1664139812
Academy of Professional Careers - Winter Park,"114 South Semoran Boulevard, Winter Park, FL, 32792","(28.59559, -81.30733)",2548.12726078491
Harvest English Institute - Orlando,"5950 Lakehurst Dr., Orlando, FL, 32819","(28.453508, -81.46105)",2547.89627749765
MILA Orlando,"7011 Grand National Drive, Orlando, FL, 32819","(28.460438, -81.45624)",2547.786665095
The Institute of Clinical Pastoral Training,"4700 Millenia Blvd Suite 175, Orlando,, FL, 32839","(28.485157, -81.44068)",2547.32485817918
Southeastern University,"1000 Longfellow Blvd, Lakeland, FL, 33801-6034","(28.03275, -81.92016)",2547.2471476184
Florida Institute of Animal Arts,"3776 Howell Branch Road, Winter Park, FL, 32792","(28.623667, -81.29921)",2547.18094952217
Orange Technical College - Orlando Campus,"301 West Amelia Street, Orlando, FL, 32801","(28.549389, -81.38325)",2546.8885977774
AdventHealth University,"671 Winyah Drive, Orlando, FL, 32803","(28.576641, -81.3685)",2546.27535690135
Florida Southern College,"111 Lake Hollingsworth Drive, Lakeland, FL, 33801-5698","(28.029148, -81.9471)",2546.22054273002
LCI Lakeland,"111 Lake Hollingsworth Drive, Lakeland, FL, 33801","(28.029148, -81.9471)",2546.22054273002
Teacher Education University,"1079 West Morse Boulevard Suite B, Winter Park, FL, 32789","(28.597683, -81.36364)",2545.51043914392
Fortis College- Winter Park,"1573 W. Fairbanks Ave, Winter Park, FL, 32789","(28.593159, -81.37071)",2545.4053604108
Orange Technical College - Winter Park Campus,"901 Webster Avenue, Winter Park, FL, 32789","(28.603996, -81.36139)",2545.31646162518
Career Training Institute,"3318 Edgewater Drive, Orlando, FL, 32804","(28.581255, -81.3896)",2545.11626903451
"Florida Institute of Recording, Sound and Technology, Inc.","2309 Silver Star Road, Orlando, FL, 32804","(28.578169, -81.4114)",2544.28553108771
"GUTI, The Premier Beauty and Wellness Academy - Bradenton","4212 Cortez Road West, Bradenton, FL, 34210","(27.462536, -82.60328)",2544.18741287196
Maitland Montessori Teacher Education Program,"236 North Swoope Ave., Maitland, FL, 32751","(28.628614, -81.36188)",2544.14596776502
Lincoln Technical Institute - Fern Park,"7275 Estapona Circle, Fern Park, FL, 32730-2351","(28.653196, -81.34685)",2543.67217539646
Career Tech,"2219 West Memorial Blvd., Lakeland, FL, 33815","(28.054874, -81.991646)",2543.0238512301
L3 Commercial Training Solutions Airline Academy,"2700 Flight Line Ave, Sanford, FL, 32773","(28.778229, -81.25095)",2542.14597473977
Centura Institute,"6359 Edgewater Drive, Orlando, FL, 32810","(28.614155, -81.4219)",2542.1358405076
Seminole State College of Florida,"100 Weldon Blvd, Sanford, FL, 32773-6199","(28.741714, -81.30552)",2541.39969871509
City College - Altamonte Springs,"177 Montgomery Road, Altamonte Springs, FL, 32714","(28.664228, -81.40261)",2540.6628206477
Cape Cod Community College,"2240 Iyanough Rd, West Barnstable, MA, 02668-1599","(41.690304, -70.33973)",2540.19510099732
Dale Carnegie Training of Central Florida,"4295 South Atlantic Avenue, Wilbur by the Sea, FL, 32127-6610","(29.122084, -80.95244)",2539.62737866035
Orange Technical College - Westside Campus,"955 East Story Road, Winter Garden, FL, 34787","(28.558508, -81.56932)",2538.14622575239
Remington College of Nursing,"660 Century Point, Lake Mary, FL, 32746","(28.776112, -81.351364)",2537.74640036723
Remington College,"7131 Business Park Lane, Lake Mary, FL, 32746","(28.785381, -81.35919)",2536.96482758799
Embry-Riddle Aeronautical University - Daytona Beach,"600 S Clyde Morris Blvd, Daytona Beach, FL, 32114-3900","(29.192337, -81.05059)",2531.9773274441
Bethune - Cookman University,"640 Dr Mary McLeod Bethune Blvd, Daytona Beach, FL, 32114-3099","(29.21179, -81.03171)",2531.93047861265
Phoenix East Aviation,"561 Pearl Harbor Drive, Daytona Beach, FL, 32114","(29.187315, -81.05817)",2531.86786935344
"National Graduate School of Quality Management, Inc.","186 Jones Road, Falmouth, MA, 02540","(41.561546, -70.61245)",2531.80314466122
Everest University Online - Tampa,"10117 Princess Palm Avenue, Tampa, FL, 33584","(27.979095, -82.33471)",2531.39327352497
