School,Address,Lat/Lon,Distance (Miles)
"Trend Setters' Academy of Beauty Culture, Inc.","8111 Preston Highway, Louisville, KY, 40219","(38.134327, -85.68446)",1947.58660514582
Spencerian College - Louisville,"4000 DuPont Circle, Louisville, KY, 40207","(38.232986, -85.63128)",1946.49147360065
Sullivan University - Dupont Circle,"4000 Dupont Circle, Louisville, KY, 40207","(38.232986, -85.63128)",1946.49147360065
Edison State Community College,"1973 Edison Dr, Piqua, OH, 45356-9239","(40.158356, -84.2151)",1946.28553266459
Upper Valley Career Center,"8811 Career Drive, Piqua, OH, 45356","(40.162598, -84.21536)",1946.1352025372
"The Artisan College of Cosmetology, LLC","1645 Tiffin Avenue, Findlay, OH, 45840","(41.052204, -83.61843)",1945.65223106842
Ohio Northern University,"525 Main St, Ada, OH, 45810-1599","(40.765903, -83.82321)",1945.06417875482
Sullivan College of Technology and Design,"3901 Atkinson Square Dr, Louisville, KY, 40218","(38.199844, -85.688995)",1945.01135382472
Lakewood School of Therapeutic Massage,"1102 6th Street, Port Huron, MI, 48060","(42.972477, -82.426025)",1944.85557428067
Winebrenner Theological Seminary,"950 North Main Street, Findlay, OH, 45840","(41.05259, -83.650085)",1944.16623772562
The University of Findlay,"1000 N Main St, Findlay, OH, 45840-3695","(41.053074, -83.650085)",1944.15123457834
The Salon Professional Academy,"1871 Gratiot Blvd, Marysville, MI, 48040","(42.917633, -82.48207)",1943.77088655985
Louisville Presbyterian Theological Seminary,"1044 Alta Vista Rd, Louisville, KY, 40205-1758","(38.240376, -85.685555)",1943.71100434958
Miami University,"501 East High St, Oxford, OH, 45056","(39.510387, -84.73534)",1943.56041039837
Southern Baptist Theological Seminary,"2825 Lexington Rd, Louisville, KY, 40280-0001","(38.246296, -85.6859)",1943.48204675369
Paul Mitchell The School Great Lakes,"2950 Lapeer Road, Port Huron, MI, 48060","(42.97833, -82.45864)",1943.18229977441
Lamar State College - Port Arthur,"1500 Proctor St, Port Arthur, TX, 77640","(29.879583, -93.9274)",1942.73427367767
"Corinth Academy of Cosmetology, Inc","509 Cruise Street, Corinth, MS, 38834","(34.934296, -88.520546)",1942.43971240063
Robley Rex VA Medical Center,"800 Zorn Avenue Buidling 24, Louisville, KY, 40207","(38.27098, -85.69416)",1942.21194238375
Galen College of Nursing,"1031 Zorn Avenue Suite 400, Louisville, KY, 40206","(38.27627, -85.698364)",1941.82710495544
Simmons College of Kentucky,"1018 South 7th Street, Louisville, KY, 40203","(38.239517, -85.76444)",1940.08751521785
"Trend Setters'  Academy of Beauty Culture, Inc.","7283 Dixie Hwy, Louisville, KY, 40258","(38.145306, -85.83869)",1940.04762273818
Jefferson Technical College,"727 W Chestnut St, Louisville, KY, 40203-2036","(38.249554, -85.76335)",1939.77682451052
Mid-America College of Funeral Service,"3111 Hamburg Pke, Jeffersonville, IN, 47130","(38.309776, -85.74444)",1938.48939663287
Galveston College,"4015 Ave Q, Galveston, TX, 77550-7496","(29.28523, -94.80843)",1937.57178491975
The University of Texas Medical Branch,"301 University Blvd, Galveston, TX, 77555-0129","(29.311401, -94.775856)",1937.52081493713
James A Rhodes State College,"4240 Campus Dr, Lima, OH, 45804-4242","(40.737965, -84.02664)",1936.47106032237
Institute of Hair Design,"205 Enterprise Drive, Adamsville, TN, 38310","(35.24356, -88.392235)",1935.39015948797
Bowling Green State University,"1001 East Wooster Street, Bowling Green, OH, 43403","(41.37461, -83.6363)",1934.91965635185
Toledo Academy of Beauty Culture - East,"3341 Navarre Avenue, Oregon, OH, 43616","(41.637016, -83.46945)",1934.76691493868
Faris Technical Institute,"1119 Kent Avenue, Nederland, TX, 77627","(29.982094, -93.99775)",1934.67981387821
Montessori Teacher Education Institute of Bowling Green (AMS,"515 Sand Ridge Rd., Bowling Green, OH, 43402","(41.366398, -83.65749)",1934.18298903493
Indiana University Southeast,"4201 Grant Line Rd., New Albany, IN, 47150","(38.345882, -85.81651)",1933.85563533002
Wayne County Community College District,"801 W Fort St, Detroit, MI, 48226","(42.32768, -83.05443)",1933.81956244769
Career Advancement Studies in Healthcare Institute,"247 Cass Avenue, Mount Clemens, MI, 48043","(42.59785, -82.88919)",1933.80970257548
Lawton Career Institute - Warren,"13877 E. Eight Mile Road, Warren, MI, 48089","(42.449673, -82.98258)",1933.67112683255
Central Louisiana Technical Community College - Alexandria,"516 Murray Street, Alexandria, LA, 71301","(31.310186, -92.44603)",1933.58429245783
Louisiana College,"1140 College Dr, Pineville, LA, 71359","(31.325718, -92.428505)",1933.57664872002
Pineville Beauty School,"1008 Main St, Pineville, LA, 71360-0000","(31.324484, -92.43233)",1933.4743462841
Ecumenical Theological Seminary,"2930 Woodward Ave, Detroit, MI, 48201","(42.344105, -83.05568)",1933.29047421001
Owens Community College,"30335 Oregon Rd, Perrysburg, OH, 43551","(41.591644, -83.53802)",1932.93602092016
Wayne State University,"656 West Kirby Street, Detroit, MI, 48202","(42.363636, -83.057144)",1932.66303958838
DSDT,"1759 W. 20th Street, Detroit, MI, 48216","(42.325462, -83.08096)",1932.65037199212
Alexandria Academy of Beauty Culture,"2305 Rapides Ave, Alexandria, LA, 71301-5730","(31.309565, -92.47027)",1932.58952780929
College for Creative Studies,"201 East Kirby Street, Detroit, MI, 48202","(42.36092, -83.06424)",1932.41106992293
Macomb Community College,"14500 E Twelve Mile Rd, Warren, MI, 48088-3896","(42.50837, -82.976006)",1932.3086144836
Warren Woods Vocational Adult Education,"12900 Frazho Road, Warren, MI, 48089-1300","(42.485413, -82.99354)",1932.14573755249
Apollo Career Center,"3325 Shawnee Rd, Lima, OH, 45801","(40.69204, -84.151276)",1932.11771087662
Detroit Business Institute - Downriver,"19100 Fort St, Riverview, MI, 48193","(42.16965, -83.18921)",1932.11158388663
Toledo Public Schools Adult and Continuing Education,"1530 North Superior Street, Toledo, OH, 43604","(41.661385, -83.51959)",1931.7044607109
Miller-Motte Technical College - Clarksville,"1820 Business Park Dr, Clarksville, TN, 37040","(36.555702, -87.32544)",1931.28421156298
Orion Institute,"340 Three Meadows Drive, Perrysburg, OH, 43551","(41.55477, -83.59886)",1931.21252915933
"Austin's Beauty College, Inc.","585-A South Riverside Drive, Clarksville, TN, 37040","(36.521057, -87.36326)",1930.9044261477
Austin Peay State University,"601 College St, Clarksville, TN, 37044","(36.53098, -87.35593)",1930.85251517854
Daymar College - Clarksville,"2691 Trenton Road, Clarksville, TN, 37040","(36.579815, -87.31479)",1930.8320425427
Blue Mountain College,"201 W Main St, Blue Mountain, MS, 38610-9509","(34.670937, -89.02824)",1930.66463030405
Mercy College of Ohio,"2221 Madison Avenue, Toledo, OH, 43604-1132","(41.65935, -83.55161)",1930.27516308128
University of Northwestern Ohio,"1441 N Cable Rd, Lima, OH, 45805","(40.75976, -84.147194)",1930.16921061612
Sacred Heart Major Seminary,"2701 Chicago Blvd, Detroit, MI, 48206-1704","(42.376118, -83.111786)",1929.76698630488
Michigan College of Beauty - Monroe,"1020 South Monroe Street, Monroe, MI, 48161","(41.907562, -83.40519)",1929.72321931277
Dorsey School of Business,"15755 Northline Road, Southgate, MI, 48195","(42.21326, -83.215744)",1929.61635283597
Styles and Profiles Beauty College,"119 S Second St, Selmer, TN, 38375","(35.16992, -88.5924)",1929.38790158996
J & J Hair Design College - Greenwood,"502 Howard Street, Greenwood, MS, 38930","(33.517315, -90.18173)",1929.31172065465
Ohio State Beauty Academy,"1760 North Eastown Road, Lima, OH, 45807","(40.76194, -84.16514)",1929.26471879742
Focus:  HOPE Machinist Training Institute,"1200 Oakman Boulevard, Detroit, MI, 48238","(42.40062, -83.11879)",1928.74150753557
Focus: HOPE Information Technologies Center,"1400 Oakman Boulevard, Detroit, MI, 48238","(42.399498, -83.12185)",1928.63136082494
Mr Bela's School of Cosmetology Inc,"4100 East 11 Mile Road, Warren, MI, 48091","(42.490814, -83.06604)",1928.62475441175
Toledo Academy of Beauty Culture - North,"5020 Lewis Avenue, Toledo, OH, 43612-2822","(41.707752, -83.5661)",1928.15601965011
PJ's College of Cosmetology,"50 Hayes Arboretum Road, Richmond, IN, 47374","(39.832226, -84.84212)",1927.82206164106
Lamar Institute of Technology,"855 E Lavaca, Beaumont, TX, 77705","(30.047262, -94.09001)",1927.62232482218
Natural Images Beauty College,"236 Old Angleton Road, Clute, TX, 77531","(29.025873, -95.40013)",1927.57228889972
University of Detroit Mercy,"4001 W McNichols Rd, Detroit, MI, 48221-3038","(42.417175, -83.13848)",1927.35433290902
Metro Detroit Barber College,"7443 West McNichols, Detroit, MI, 48221","(42.417126, -83.14562)",1927.02398945416
Sanford-Brown College - Dearborn,"5900 Mercury Drive, Dearborn, MI, 48126","(42.32818, -83.20413)",1926.848468623
Professional Skills Institute,"1505 Holland Road, Maumee, OH, 43537","(41.58586, -83.672615)",1926.84519704532
Queen City College,"1594 Fort Campbell Blvd, Clarksville, TN, 37042","(36.573875, -87.40712)",1926.8338885529
Marygrove College,"8425 W McNichols Rd, Detroit, MI, 48221-2599","(42.417, -83.15628)",1926.53229069994
Monroe County Community College,"1555 South  Raisinville Road, Monroe, MI, 48161-9746","(41.91276, -83.47423)",1926.35857620838
Stautzenberger College,"1796 Indian Wood Circle, Maumee, OH, 43537","(41.58346, -83.684875)",1926.34662124013
Athena Career Academy,"5203 Airport Highway, Toledo, OH, 43615","(41.616623, -83.665565)",1926.25054895631
Virginia Farrell Beauty School,"22925 Woodward Ave, Ferndale, MI, 48220","(42.461834, -83.13568)",1926.2128960732
University of Michigan Dearborn,"4901 Evergreen Rd, Dearborn, MI, 48128-1491","(42.312904, -83.22725)",1926.21220685761
David Demuth Institute of Cosmetology,"1301 South 8th Street, Richmond, IN, 47374","(39.81258, -84.891556)",1926.17389160382
Lewis College of Business,"17370 Meyers Rd, Detroit, MI, 48235","(42.419174, -83.17023)",1925.82215303261
Global Tech College,"4346 Secor Road, Toledo, OH, 43623","(41.697407, -83.62338)",1925.79883674467
Dorsey Schools,"31739 John R. Road, Madison Heights, MI, 48071","(42.525734, -83.106674)",1925.74741544852
Davis College,"4747 Monroe St, Toledo, OH, 43623","(41.692932, -83.62998)",1925.6251560229
Henry Ford College,"5101 Evergreen Rd., Dearborn, MI, 48128","(42.323383, -83.233696)",1925.61196810853
Barbers Trade School,"665 Orleans Street, Beaumont, TX, 77701","(30.08142, -94.09792)",1925.57433870498
David Pressley Professional School of Cosmetology,"1127 South Washington Street, Royal Oak, MI, 48067-3219","(42.480293, -83.1463)",1925.19507947151
Platinum College of Cosmetology,"52033 Van Dyke Avenue, Shelby Township, MI, 48316","(42.677284, -83.034195)",1924.84372575932
Indiana University East,"2325 Chester Blvd., Richmond, IN, 47374","(39.86059, -84.88865)",1924.71602377577
Bethany Theological Seminary,"615 National Rd W, Richmond, IN, 47374-4019","(39.82605, -84.91609)",1924.58482229222
Earlham College,"801 National Rd West, Richmond, IN, 47374-4095","(39.82575, -84.91887)",1924.46541699834
North Central Institute,"168 Jack Miller Blvd, Clarksville, TN, 37042","(36.61535, -87.429375)",1924.1981431321
College of the Mainland,"1200 Amburn Road, Texas City, TX, 77591-2499","(29.39432, -95.00298)",1924.16031475122
Lawton Career Institute,"20820 Greenfield Road, Oak Park, MI, 48237","(42.446045, -83.20051)",1923.65000321741
"Michigan College of Beauty - Troy, Inc.","3498 Rochester Rd, Troy, MI, 48083","(42.57169, -83.127914)",1923.46185174325
Salon Institute - Toledo,"3034 Wilford Drive, Toledo, OH, 43615","(41.67457, -83.697845)",1923.01478454692
Mississippi Valley State University,"14000 Highway 82 West, Itta Bena, MS, 38941-1400","(33.510365, -90.336784)",1922.77881730434
Ross College,"5834 Monroe Street, Sylvania, OH, 43560","(41.71312, -83.68279)",1922.5657294913
Language Center International,"17515 W Nine Mile Road, Southfield, MI, 48075","(42.458923, -83.21625)",1922.55246682971
Walsh College of Accountancy and Business Administration,"3838 Livernois, Troy, MI, 48083-5048","(42.57463, -83.148224)",1922.43560325147
Texas Healthtech Institute,"9615 College Street, Beaumont, TX, 77707","(30.064703, -94.20876)",1921.89922251079
Dolphin Technical Institute,"4835 Concord, Beaumont, TX, 77703","(30.120567, -94.14113)",1921.83459622056
Specs Howard School of Media Arts,"19900 W Nine Mile Rd, Southfield, MI, 48075","(42.458336, -83.23899)",1921.51263271209
Lourdes University,"6832 Convent Blvd, Sylvania, OH, 43560-2898","(41.70809, -83.70893)",1921.49907979551
Stark College and Seminary,"6606 Weber Rd., Corpus Christi, TX, 78413","(27.698988, -97.41279)",1921.39597162959
Northwestern Technological Institute,"24567 Northwestern Hwy Ste 200, Southfield, MI, 48075","(42.46935, -83.237816)",1921.25421952142
Everest Institute - Southfield,"21107 Lahser Road, Southfield, MI, 48033","(42.447124, -83.25952)",1920.87756931861
Nexcare Health Care Training Institute,"28349 Joy Road, Westland, MI, 48185","(42.355, -83.32085)",1920.65573902276
Lawrence Technological University,"21000 W Ten Mile Rd, Southfield, MI, 48075-1058","(42.472683, -83.25028)",1920.58048258284
Regal Beauty School,"29190 Joy Road, Livonia, MI, 48150","(42.35478, -83.33057)",1920.21029342066
Unlimited Beauty Institute,"25463 Grand River, Redford, MI, 48240","(42.430885, -83.29177)",1919.84120621999
"Irene's Myomassology Institute, Inc.","26061 Franklin Road, Southfield, MI, 48033","(42.480797, -83.28671)",1918.6576014924
South Texas Vocational Technical Institute,"2000 South Padre Island Drive, Corpus Christi, TX, 78416","(27.739317, -97.43405)",1918.39429886984
South Texas Barber College,"3917 Ayers, Corpus Christi, TX, 78415","(27.752668, -97.41676)",1918.30801732807
Del Mar College,"101 Baldwin Blvd., Corpus Christi, TX, 78404-3897","(27.767254, -97.40718)",1917.867066062
Aveda Arts & Sciences Institute Corpus Christi,"1110 Ayres Street, Corpus Christi, TX, 78404","(27.77321, -97.401184)",1917.76492563631
Elite College of Cosmetology,"459 North Main Street, Lexington, TN, 38351","(35.657745, -88.408775)",1917.66275724156
Manthano Christian College,"6420 N. Newburgh Road, Westland, MI, 48185","(42.33106, -83.40891)",1917.24831337622
Oakland Community College,"2480 Opdyke Rd, Bloomfield Hills, MI, 48304-2266","(42.59512, -83.2475)",1917.24710112329
Virginia Farrell Beauty School,"33425 Five Mile Rd, Livonia, MI, 48154","(42.397007, -83.37434)",1916.96972008393
L'esprit Academy,"42083 Ford Road, Canton, MI, 48187","(42.322716, -83.455574)",1915.31838134954
Alvin Community College,"3110 Mustang Rd, Alvin, TX, 77511-4898","(29.390463, -95.236336)",1915.0638395095
Paul Mitchell The School Farmington Hills,"27590 Orchard Lake Rd., Farmington Hills, MI, 48334","(42.49894, -83.35862)",1914.80213947548
Schoolcraft College,"18600 Haggerty Road, Livonia, MI, 48152-2696","(42.42085, -83.43289)",1913.56920057264
William Tyndale College,"35700 W Twelve Mile Road, Farmington Hills, MI, 48331-3147","(42.498104, -83.40006)",1912.90044003271
Hopkinsville Community College,"720 North Dr, Hopkinsville, KY, 42241-2100","(36.883045, -87.49258)",1910.93037179924
Gulf Coast Montessori Teacher Education Center,"979 Reseda Drive, Houston, TX, 77062","(29.561054, -95.1296)",1910.48838501512
D & S School of Cosmetology,"4180 Elizabeth Lake Road, Waterford, MI, 48328","(42.638954, -83.36889)",1910.3766733831
Ave Maria College,"300 West Forest Avenue, Ypsilanti, MI, 48197","(42.248768, -83.61624)",1909.9731439723
Marketti Academy of Cosmetology,"4390 Dixie Highway, Waterford, MI, 48329","(42.68258, -83.37536)",1908.85366525125
Michigan Montessori Teacher Education Center,"4860 Midland Avenue, Waterford, MI, 48329","(42.693886, -83.38633)",1908.02800027672
Rust College,"150 Rust Ave, Holly Springs, MS, 38635","(34.774254, -89.44577)",1907.55264103249
Michigan College of Beauty - Waterford,"5620 Dixie Hwy, Waterford, MI, 48329","(42.698624, -83.39779)",1907.36336459588
"State College of Beauty, Inc","4567 Washtenaw Street, Ann Arbor, MI, 48108","(42.25262, -83.673515)",1907.19923725211
Scholars Cosmetology University,"4557 Washtenaw Avenue, Ann Arbor, MI, 48108","(42.252625, -83.67354)",1907.19793097398
International Training Fund,"4800 East Huron River Drive, Ann Arbor, MI, 48105","(42.266994, -83.66806)",1907.03948416985
Ohio Technical Center at Vantage Career Center,"818 North Franklin St, Van Wert, OH, 45891","(40.880386, -84.571846)",1906.60339753414
Concordia University,"4090 Geddes Rd., Ann Arbor, MI, 48105","(42.274574, -83.68054)",1906.24139242587
Cleary University,"3601 Plymouth Rd, Ann Arbor, MI, 48105-2659","(42.30534, -83.691696)",1904.8397127781
Texas Chiropractic College,"5912 Spencer Hwy, Pasadena, TX, 77505","(29.66572, -95.151184)",1904.22627568087
San Jacinto College District,"4624 Fairmont Pkwy, Pasadena, TX, 77504-3398","(29.64949, -95.17407)",1904.14828018734
Michigan Language Center,"309 S. State Street, Ann Arbor, MI, 48104","(42.279243, -83.74079)",1903.30593125246
American Institute for Paralegal,"560 Lans Way, Ann Arbor, MI, 48103","(42.25294, -83.75764)",1903.27840148416
American National College,"1611- E Spencer, South Houston, TX, 77587-3714","(29.664724, -95.21168)",1901.85993345865
Northwest State Community College,"22600 State Route 34, Archbold, OH, 43502-9542","(41.449425, -84.29764)",1901.85989640467
Adrian Dominican Montessori Teacher Education Institute,"1257 E. Siena Heights Dr., Adrian, MI, 49221","(41.905205, -84.01253)",1901.53583453582
"Fiser's College of Cosmetology, LLC","329-1/2 E Maumee, Adrian, MI, 49221","(41.89746, -84.03228)",1900.84460900493
Jackson State Community College,"2046 North Parkway, Jackson, TN, 38301-3797","(35.64844, -88.79631)",1900.47311414153
Ann Arbor Institute of Massage Therapy,"180 Jackson Plaza #100, Ann Arbor, MI, 48103","(42.282516, -83.802284)",1900.35267701166
Lambuth University,"705 Lambuth Boulevard, Jackson, TN, 38301","(35.62366, -88.826614)",1900.11294491955
Adrian College,"110 S Madison St, Adrian, MI, 49221-2575","(41.89707, -84.05842)",1899.63968166148
Texas Career Institute - Houston,"8505-A Gulf Freeway, Houston, TX, -","(29.669222, -95.261925)",1899.62142766555
Aviation Institute of Maintenance - Houston,"7651 Airport Blvd., Houston, TX, 77061","(29.657776, -95.28243)",1899.39388232649
Training Centers of Texas,"1512 Ahrens, Houston, TX, 77017","(29.687824, -95.24561)",1899.31319125129
New Wave Hair Academy,"1433 Hollywood, Jackson, TN, 38301","(35.63613, -88.84734)",1898.66481511231
Upper Kutz Barber & Style College,"813 Highway 1 South, Greenville, MS, 38701","(33.397324, -91.0379)",1897.0043401633
Tennessee College of Applied Technology - Jackson,"2468 Technology Center Drive, Jackson, TN, 38301","(35.6078, -88.92433)",1896.3381074061
"Brighton Institute of Cosmetology, Inc.","10543 Citation Drive, Brighton, MI, 48116","(42.518673, -83.74495)",1896.29217581475
Franklin Beauty School #2,"4965 Martin Luther King Blvd, Houston, TX, 77021-2909","(29.706951, -95.33523)",1894.74872898438
Delta State University,"1003 West Sunflower Road, Cleveland, MS, 38733","(33.7476, -90.73808)",1894.55616067542
Tennessee College of Applied Technology - McKenzie,"16940 Highland Dr, McKenzie, TN, 38201","(36.138397, -88.493706)",1894.41561421123
University of Houston,"4800 Calhoun Rd., Houston, TX, 77204-2018","(29.725355, -95.33761)",1893.70406728862
Bethel University,"325 Cherry Avenue, McKenzie, TN, 38201","(36.136715, -88.516464)",1893.4472517411
E.B. Cape Center - Corporate University,"4501 Leeland, Houston, TX, 77023","(29.735695, -95.333855)",1893.32053055664
Texas Southern University,"3100 Cleburne St, Houston, TX, 77004","(29.724691, -95.36264)",1892.7395969342
Houston School of Houston School of Carpentry,"3522 Polk Street, Houston, TX, 77003","(29.741747, -95.344894)",1892.56772886841
Harris County Hospital Dist./Ben Taub General Hospital,"1504 Taub Loop, Houston, TX, 77030","(29.712404, -95.39382)",1892.13042896647
Houston Graduate School of Theology,"4300-C West Bellfort, Houston, TX, 77035","(29.673212, -95.44867)",1891.97057272889
Rice University,"6100 S Main, Houston, TX, 77005","(29.72047, -95.3938)",1891.71472357558
University of Louisiana at Monroe,"700 University Avenue, Monroe, LA, 71209-0000","(32.528324, -92.07565)",1891.65679463416
Celebrity Barber School,"3220 Louisville Avenue, Monroe, LA, 71201","(32.52232, -92.0843)",1891.56393149381
Louisiana Delta Community College,"4014 LaSalle Street, Monroe, LA, 71203","(32.53161, -92.07482)",1891.53958260701
Celebrity Stylist Beauty School,"3138 Louisville Ave, Monroe, LA, 71201","(32.52281, -92.08594)",1891.47052419962
ICC Technical Institute,"3333 Fannin Ste #203, Houston, TX, 77004","(29.740198, -95.37688)",1891.37125019068
Cloyds Beauty School #3,"2514 Ferrand St, Monroe, LA, 71201","(32.53302, -92.08124)",1891.19756091535
Arnolds Beauty School,"1179 S Second St, Milan, TN, 38358","(35.918476, -88.75916)",1891.18996122512
University of St. Thomas,"3800 Montrose Blvd, Houston, TX, 77006-4696","(29.738703, -95.39118)",1890.87797358718
University of Houston - Downtown,"1 Main St, Houston, TX, 77002-1014","(29.764696, -95.359024)",1890.82013252713
Language Consultants International (LCI) Houston,"3618 Mount Vernon Street, Houston, TX, 77006","(29.740255, -95.39377)",1890.6945686147
Howell College of Cosmetology,"1800 Dorr Rd, Howell, MI, 48843","(42.57404, -83.83446)",1890.57134790196
Jay's Technical Institute,"11910 Fondren Meadow Drive, Houston, TX, 77071","(29.64929, -95.52731)",1890.0801948394
Trend Barber College,"8250 West Bellfort, Houston, TX, 77071","(29.655634, -95.523056)",1889.92079737317
Houston Ballet Ben Stevenson Academy,"1921 West Bell,, Houston,, TX, -","(29.75454, -95.40292)",1889.59239045717
Montessori Teacher Education Institute - Houston,"5812 Maple Street, Houston, TX, 77074","(29.690876, -95.49476)",1889.22247226578
Sebring Career Schools,"7060 Bissonnet St, Houston, TX, 77074-6010","(29.687725, -95.50692)",1888.9016244288
Behold Beauty Academy,"9937 Homestead Rd, Houston, TX, 77016-3725","(29.854315, -95.300514)",1888.54290833399
Houston Baptist University,"7502 Fondren Rd, Houston, TX, 77074-3298","(29.698076, -95.515205)",1888.03651385105
Houston Area Plumbing Joint Apprenticeship Committee,"454 Link Road, Houston, TX, 77009","(29.808098, -95.37696)",1887.86664948627
Southwestern Professional Institute,"3030 Chimney Rock Rd Ste 200, Houston, TX, 77056","(29.733917, -95.47652)",1887.72358384605
The Ocean Corporation,"10840 Rockley Road, Houston, TX, 77099","(29.664314, -95.56791)",1887.68854073826
Texas Barber College and Hairstyling School  - Houston,"8201 South Gessner Road, Houston, TX, 77036","(29.69052, -95.5345)",1887.65992346191
North American University,"11929 West Airport Boulevard, Stafford, TX, 77477","(29.64836, -95.59257)",1887.53559609553
College of Biblical Studies-Houston,"7000 Regency Square Blvd., Houston, TX, 77036-3211","(29.715502, -95.5081)",1887.41800696283
The Art Institute of Houston,"1900 Yorktown Street, Houston, TX, 77056-4197","(29.746817, -95.47082)",1887.28423346923
GENESIS VOCATIONAL TRAINING,"7111 HARWIN STE 105, HOUSTON, TX, 77036","(29.717968, -95.50912)",1887.24990070384
Culinary Institute LeNotre,"7070 Allensby, Houston, TX, 77022-4322","(29.823866, -95.37906)",1886.9703365621
Mr Davids School of Cosmetology Ltd,"4000 South Saginaw Street, Flint, MI, 48507-2544","(42.98833, -83.67594)",1886.43988730107
American College of Acupuncture and Oriental Medicine,"9100 Park West Drive, Houston, TX, 70063-4104","(29.735403, -95.52368)",1885.76895378094
Sylvia's International School of Beauty,"434 Parker Rd, Houston, TX, 77091","(29.859022, -95.3701)",1885.51796312724
Sanford-Brown College - Houston,"9999 Richmond Avenue, Houston, TX, 77042","(29.72875, -95.548935)",1885.10793998598
American Medical Institute,"6902 Cook Road, Houston, TX, 77072","(29.702394, -95.596146)",1884.59451248208
Ezell's Cosmetology School,"504 Maple St, Murray, KY, 42071-2530","(36.609867, -88.30313)",1884.4413358017
International Christian Institute and Linguistics School,"11931 Seventh Street, Houston, TX, 77072","(29.71241, -95.58949)",1884.34055953556
Houston's Training and Education Center,"5335 Aldine Bender Drive, Houston, TX, 77032","(29.93048, -95.311745)",1884.17835333512
School of Automotive Machinists & Technology,"1911 Antoine, Houston, TX, 77055","(29.804764, -95.475494)",1884.10647789508
Remington College-Houston Campus,"3110 Hayes Road Suite 380, Houston, TX, 77082","(29.730228, -95.57572)",1883.96603829155
Northwest Educational Center,"2910 Antoine B-100, Houston, TX, 77092","(29.81371, -95.47365)",1883.71848838027
Louisiana Technical College - Delta-Ouachita Campus,"609 Vocational Parkway, West Monroe, LA, 71292","(32.509377, -92.28181)",1883.67363905822
"Bell Tech Career Institute, Inc.","12000 Richmond Avenue,Suite 130, Houston, TX, 77082","(29.73075, -95.59153)",1883.31033511278
Serenity Massage P.L.L.C.,"40 N. Main Street, Kingwood, TX, 77339","(30.04846, -95.18545)",1883.19716390251
Creative Hair School of Cosmetology,"4205 Miller Road C4-7, Flint, MI, 48507","(42.980305, -83.76063)",1882.72835710944
"REM SPA, INC D/b/a Summit Salon Academy","5335 South Scatterfield Road, Anderson, IN, 46013","(40.061073, -85.65298)",1882.53572537941
Flint Institute of Barbering Inc,"3214 Flushing Rd, Flint, MI, 48504-4395","(43.02643, -83.73859)",1882.49181134594
Careers Unlimited Beauty School,"10058 Long Point, Houston, TX, 77055","(29.794271, -95.54276)",1881.96742579259
Learning Institute of Texas,"6403 Addicks Clodine Rd, Houston, TX, 77083-1201","(29.709259, -95.660484)",1881.68322554222
North West Beauty School,"6770 Antoine, Houston, TX, 77091","(29.861877, -95.473404)",1881.24481276299
Anderson University,"1100 E 5th St, Anderson, IN, 46012-3495","(40.11117, -85.66665)",1880.25718118186
TechSkills - Memphis,"3237 Players Club Parkway, Memphis, TN, 38125","(35.061787, -89.79249)",1879.86510010276
Apex Academy of Hair Design Inc,"333 Jackson St, Anderson, IN, 46016-1158","(40.112465, -85.680595)",1879.56588316393
The Healthcare Institute,"7253 Winchester Road, Memphis, TN, 38125","(35.048943, -89.82198)",1879.08232217301
Tennessee Academy of Cosmetology - Memphis,"7053 Winchester Road, Memphis, TN, 38125","(35.049126, -89.82845)",1878.78437634179
Brightwood College,"711 East Airtex Drive, Houston, TX, 77073","(29.983107, -95.414276)",1877.37020412194
Victoria Beauty College Inc,"1508 N Laurent St, Victoria, TX, 77901-6233","(28.80771, -96.99098)",1877.27382816497
Texas Vocational Schools,"1921 East Red River, Victoria, TX, 77901","(28.813988, -96.984985)",1877.16731690602
The Woodhouse School of Wellness,"103 South Glass, Victoria, TX, 77901","(28.799707, -97.008)",1877.05091107196
Universal Technical Institute of Texas Inc,"721 Lockhaven Dr, Houston, TX, 77073","(29.989882, -95.413574)",1877.05027913293
Ravenscroft Beauty College,"4530 Lahmeyer Road, Fort Wayne, IN, 46835","(41.122414, -85.04715)",1876.94617674003
Taylor University,"236 W Reade Ave, Upland, IN, 46989-1001","(40.45916, -85.49557)",1876.93900892084
Professional Career Training Institute,"227 West Airtex Drive, Houston, TX, 77090","(29.981499, -95.4278)",1876.9116424301
Mason Academy of Cosmetology,"12198 Main Street P.O. Box 581, Mason, TN, 38049","(35.412037, -89.53348)",1876.89063544431
MIAT College of Technology,"533 Northpark Central Drive, Houston, TX, 77073","(29.992937, -95.41689)",1876.76063934374
Commonwealth Institute of Funeral Service,"415 Barren Springs Dr, Houston, TX, 77090-5918","(29.990038, -95.431015)",1876.34427823622
The Bible Seminary,"2655 South Mason Road, Katy, TX, 77450","(29.743162, -95.75122)",1876.32520415461
L'Ecole Culinaire - Cordova,"1245 North Germantown Parkway, Cordova, TN, 38016","(35.159378, -89.7953)",1875.6418221607
Jackson College,"2111 Emmons Rd., Jackson, MI, 49201-8399","(42.167503, -84.40554)",1875.60554789912
Indiana Institute of Technology,"1600 E Washington Blvd, Fort Wayne, IN, 46803-1228","(41.079098, -85.11689)",1875.03629673344
